#Solver type:
rMOCO-S_sba
#Solver status:
AbortPointLimit
#Number of nondominated points:
25
#Number of models solved:
273
#Elapsed time (seconds):
5.89
#Ideal point:
966 966 942 1138 
#Incumbent nadir point:
748 650 689 904 
#The set of nondominated points:
901 891 869 1061 
892 966 732 1008 0.237255
797 650 942 904 0.227177
858 758 935 978 0.205384
860 886 736 1138 0.193092
966 904 818 1013 0.188592
957 955 764 983 0.188592
871 768 924 1046 0.170512
946 945 786 1023 0.168026
748 824 790 1131 0.168026
899 871 914 1033 0.140007
887 889 778 1125 0.130668
795 754 825 1112 0.127863
856 927 689 1067 0.110301
951 938 782 1035 0.107508
778 796 824 1107 0.105762
887 922 736 1077 0.0980146
823 857 815 1099 0.0952482
933 911 857 1039 0.0928015
884 870 816 1094 0.0827041
865 894 804 1094 0.0808565
826 858 844 1093 0.0801953
941 928 840 1032 0.0758627
905 931 775 1065 0.0751778
900 914 829 1074 0.0726981
