#Solver type:
rMOCO-S_sba
#Solver status:
AbortPointLimit
#Number of nondominated points:
25
#Number of models solved:
621
#Elapsed time (seconds):
17.968
#Ideal point:
-28 -23 -24 -20 -35 
#Incumbent nadir point:
-120 -113 -119 -126 -134 
#The set of nondominated points:
-77 -64 -66 -57 -82 
-28 -89 -101 -116 -105 0.440342
-99 -82 -24 -97 -134 0.409097
-111 -110 -84 -111 -35 0.402359
-108 -23 -69 -76 -120 0.390131
-101 -101 -106 -69 -37 0.385233
-35 -103 -89 -76 -79 0.377252
-38 -109 -64 -81 -102 0.350455
-114 -81 -89 -20 -85 0.34895
-90 -69 -105 -122 -43 0.333854
-87 -104 -32 -101 -95 0.331154
-111 -79 -92 -58 -44 0.325291
-40 -94 -106 -106 -67 0.325291
-99 -110 -73 -65 -45 0.316728
-85 -69 -33 -114 -97 0.316728
-76 -75 -119 -126 -45 0.3145
-113 -32 -92 -104 -84 0.304469
-43 -71 -76 -80 -126 0.304469
-76 -106 -81 -25 -83 0.301781
-92 -69 -109 -85 -47 0.299602
-43 -78 -54 -114 -103 0.294951
-67 -83 -34 -76 -95 0.287534
-120 -34 -80 -46 -99 0.282913
-45 -113 -89 -46 -89 0.282913
-73 -92 -35 -67 -121 0.282913
