#Solver type:
rMOCO-S_sba
#Solver status:
AbortPointLimit
#Number of nondominated points:
25
#Number of models solved:
154
#Elapsed time (seconds):
10.25
#Ideal point:
1964 1832 1920 
#Incumbent nadir point:
1402 1270 1416 
#The set of nondominated points:
1756 1625 1703 
1501 1421 1920 0.369086
1459 1832 1540 0.368255
1964 1270 1416 0.338683
1944 1452 1440 0.30611
1402 1589 1874 0.290831
1926 1372 1630 0.276795
1572 1599 1869 0.276795
1629 1778 1478 0.27217
1668 1483 1861 0.268716
1619 1784 1642 0.260509
1655 1767 1467 0.250737
1901 1526 1582 0.236079
1896 1577 1458 0.222348
1529 1736 1753 0.18876
1677 1577 1802 0.167188
1856 1488 1683 0.162791
1721 1720 1572 0.15984
1774 1713 1531 0.156512
1758 1310 1789 0.14623
1848 1608 1568 0.145836
1645 1706 1726 0.142828
1766 1437 1786 0.141127
1752 1467 1786 0.136733
1839 1652 1539 0.13338
