#Solver type:
rMOCO-S_tda
#Solver status:
Success
#Number of nondominated points:
30
#Number of models solved:
105
#Elapsed time (seconds):
4.15
#Ideal point:
1964 1832 1920 
#Incumbent nadir point:
1459 1270 1416 
#The set of nondominated points:
1756 1625 1703 
1501 1421 1920 
1402 1589 1874 
1450 1686 1793 
1459 1832 1540 
1551 1790 1675 
1520 1515 1893 
1572 1599 1869 
1541 1695 1781 
1614 1669 1773 
1655 1767 1467 
1683 1758 1602 
1627 1752 1676 
1665 1438 1865 
1667 1524 1849 
1640 1592 1844 
1693 1688 1667 
1758 1310 1789 
1754 1401 1787 
1749 1484 1798 
1737 1544 1784 
1774 1713 1531 
1882 1442 1681 
1819 1431 1747 
1865 1546 1633 
1844 1523 1710 
1836 1620 1617 
1964 1270 1416 
1961 1390 1505 
1944 1452 1440 
